recommendation_id,recommendation_type,is_backbone,decision_or_opportunity,target_kpi,kpi_direction,baseline_value,baseline_numeric,baseline_numeric_source,baseline_unit,baseline_date,owner_decision,action_taken,action_date,post_value,post_unit,post_date,min_window_days,measurement_window_status,outcome_status,attribution_confidence,data_limitation,baseline_source,event_ids_used,as_of_date
DEC-PRICEREV-Single,backbone,True,Pricing review candidate (backbone) — no active single signal at present,Single occupancy %,higher_is_better,100.0%,100.0,analytics baseline (unit-resolved),percent,current snapshot,pending,,,,,,30,n/a (no action),Outcome Unavailable — no action executed,None / Unavailable,no owner action recorded (recommendation generation is not execution),phase3_decision_execution_analytics.csv·baseline_value,,2026-08
DEC-MKT-ROI-GAP,backbone,True,Establish spend->lead->conversion linkage,cost per lead / cost per fill,lower_is_better,UNAVAILABLE,,not numerically resolvable,INR,UNAVAILABLE,pending,,,,,,,n/a (no action),Outcome Unavailable — no action executed,None / Unavailable,no owner action recorded (recommendation generation is not execution),phase3_decision_execution_analytics.csv·baseline_value,,2026-08
DEC-VAC-Double,backbone,True,Reduce 2-sharing vacancy,vacant 2-sharing beds & ₹/mo at risk,lower_is_better,"5 beds / ₹67,500",67500.0,analytics baseline (unit-resolved),INR,current snapshot,pending,,,,,,30,n/a (no action),Outcome Unavailable — no action executed,None / Unavailable,no owner action recorded (recommendation generation is not execution),phase3_decision_execution_analytics.csv·baseline_value,,2026-08
DEC-VAC-Single,backbone,True,No single vacancy action required at present,vacant single beds & ₹/mo at risk,lower_is_better,0 beds / ₹0,0.0,analytics baseline (unit-resolved),INR,current snapshot,pending,,,,,,30,n/a (no action),Outcome Unavailable — no action executed,None / Unavailable,no owner action recorded (recommendation generation is not execution),phase3_decision_execution_analytics.csv·baseline_value,,2026-08
OPP-laundry,phase3_opportunity,False,Laundry marketing,laundry-related engagement (marketing),context_only,verified capability present,,not numerically resolvable,engagement,UNAVAILABLE,pending,,,,,,45,n/a (no action),Outcome Unavailable — no action executed,None / Unavailable,no owner action recorded (recommendation generation is not execution),phase3_decision_execution_analytics.csv·baseline_value,,2026-08
OPP-common_area,phase3_opportunity,False,Common-area marketing,common-area marketing engagement,context_only,verified capability present,,not numerically resolvable,engagement,UNAVAILABLE,pending,,,,,,45,n/a (no action),Outcome Unavailable — no action executed,None / Unavailable,no owner action recorded (recommendation generation is not execution),phase3_decision_execution_analytics.csv·baseline_value,,2026-08
OPP-food,phase3_opportunity,False,Food owner verification,food-service availability,context_only,UNAVAILABLE,,not numerically resolvable,flag,UNAVAILABLE,pending,,,,,,0,n/a (no action),Outcome Unavailable — no action executed,None / Unavailable,no owner action recorded (recommendation generation is not execution),phase3_decision_execution_analytics.csv·baseline_value,,2026-08
OPP-security,phase3_opportunity,False,Security/CCTV owner verification,CCTV/security availability,context_only,UNAVAILABLE,,not numerically resolvable,flag,UNAVAILABLE,pending,,,,,,0,n/a (no action),Outcome Unavailable — no action executed,None / Unavailable,no owner action recorded (recommendation generation is not execution),phase3_decision_execution_analytics.csv·baseline_value,,2026-08
OPP-safety,phase3_opportunity,False,Safety owner verification,safety availability,context_only,UNAVAILABLE,,not numerically resolvable,flag,UNAVAILABLE,pending,,,,,,0,n/a (no action),Outcome Unavailable — no action executed,None / Unavailable,no owner action recorded (recommendation generation is not execution),phase3_decision_execution_analytics.csv·baseline_value,,2026-08
OPP-parking,phase3_opportunity,False,Parking owner verification,parking availability,context_only,UNAVAILABLE,,not numerically resolvable,flag,UNAVAILABLE,pending,,,,,,0,n/a (no action),Outcome Unavailable — no action executed,None / Unavailable,no owner action recorded (recommendation generation is not execution),phase3_decision_execution_analytics.csv·baseline_value,,2026-08
AIREC-VAC-DBL,phase4_deterministic,False,Prioritize Double-sharing demand against Double vacant inventory,Double occupied beds / Double monthly revenue-at-risk,higher_is_better,Unavailable — required data/linkage does not currently exist,,not numerically resolvable,beds,,pending,,,,,,30,n/a (no action),Outcome Unavailable — no action executed,None / Unavailable,no owner action recorded (recommendation generation is not execution),phase4_ai_opportunities.csv (no baseline row; baseline via owner event when logged),,2026-08
AIREC-VAC-RISK,phase4_deterministic,False,Prioritize the highest revenue-at-risk vacant beds,Monthly vacancy revenue-at-risk,lower_is_better,Unavailable — required data/linkage does not currently exist,,not numerically resolvable,INR,,pending,,,,,,30,n/a (no action),Outcome Unavailable — no action executed,None / Unavailable,no owner action recorded (recommendation generation is not execution),phase4_ai_opportunities.csv (no baseline row; baseline via owner event when logged),,2026-08
AIREC-AMEN-AC,phase4_deterministic,False,Highlight Vishful's verified AC in marketing content,Lead enquiries / campaign conversions,context_only,Unavailable — required data/linkage does not currently exist,,not numerically resolvable,leads,,pending,,,,,,45,n/a (no action),Outcome Unavailable — no action executed,None / Unavailable,no owner action recorded (recommendation generation is not execution),phase4_ai_opportunities.csv (no baseline row; baseline via owner event when logged),,2026-08
AIREC-AMEN-WIFI,phase4_deterministic,False,Highlight Vishful's verified Wi-Fi in marketing content,Lead enquiries / campaign conversions,context_only,Unavailable — required data/linkage does not currently exist,,not numerically resolvable,leads,,pending,,,,,,45,n/a (no action),Outcome Unavailable — no action executed,None / Unavailable,no owner action recorded (recommendation generation is not execution),phase4_ai_opportunities.csv (no baseline row; baseline via owner event when logged),,2026-08
AIREC-VERIFY-FOOD,phase4_deterministic,False,Owner-verify Vishful's own Food status before any marketing claim,Unavailable — required data/linkage does not currently exist,context_only,Unavailable — required data/linkage does not currently exist,,not numerically resolvable,none,,pending,,,,,,0,n/a (no action),Outcome Unavailable — no action executed,None / Unavailable,no owner action recorded (recommendation generation is not execution),phase4_ai_opportunities.csv (no baseline row; baseline via owner event when logged),,2026-08
AIREC-VERIFY-PARKING,phase4_deterministic,False,Owner-verify Vishful's own Parking status before any marketing claim,Unavailable — required data/linkage does not currently exist,context_only,Unavailable — required data/linkage does not currently exist,,not numerically resolvable,none,,pending,,,,,,0,n/a (no action),Outcome Unavailable — no action executed,None / Unavailable,no owner action recorded (recommendation generation is not execution),phase4_ai_opportunities.csv (no baseline row; baseline via owner event when logged),,2026-08
AIREC-VERIFY-SECURITY,phase4_deterministic,False,Owner-verify Vishful's own Security/CCTV status before any marketing claim,Unavailable — required data/linkage does not currently exist,context_only,Unavailable — required data/linkage does not currently exist,,not numerically resolvable,none,,pending,,,,,,0,n/a (no action),Outcome Unavailable — no action executed,None / Unavailable,no owner action recorded (recommendation generation is not execution),phase4_ai_opportunities.csv (no baseline row; baseline via owner event when logged),,2026-08
AIREC-VERIFY-POWERBAC,phase4_deterministic,False,Owner-verify Vishful's own Power backup status before any marketing claim,Unavailable — required data/linkage does not currently exist,context_only,Unavailable — required data/linkage does not currently exist,,not numerically resolvable,none,,pending,,,,,,0,n/a (no action),Outcome Unavailable — no action executed,None / Unavailable,no owner action recorded (recommendation generation is not execution),phase4_ai_opportunities.csv (no baseline row; baseline via owner event when logged),,2026-08
AIREC-AR-PRIORITY,phase4_deterministic,False,Prioritize collections on high overdue-risk tenants,Collectable AR recovered,higher_is_better,Unavailable — required data/linkage does not currently exist,,not numerically resolvable,INR,,pending,,,,,,14,n/a (no action),Outcome Unavailable — no action executed,None / Unavailable,no owner action recorded (recommendation generation is not execution),phase4_ai_opportunities.csv (no baseline row; baseline via owner event when logged),,2026-08
AIREC-CHURN-WATCH,phase4_deterministic,False,Engage High churn-risk tenants,Retained tenants / exits,lower_is_better,Unavailable — required data/linkage does not currently exist,,not numerically resolvable,tenants,,pending,,,,,,60,n/a (no action),Outcome Unavailable — no action executed,None / Unavailable,no owner action recorded (recommendation generation is not execution),phase4_ai_opportunities.csv (no baseline row; baseline via owner event when logged),,2026-08
AIREC-EB-INVESTIGATE,phase4_deterministic,False,Investigate possible-leak electricity candidates,Confirmed-leak resolutions / EB loss,lower_is_better,Unavailable — required data/linkage does not currently exist,,not numerically resolvable,count,,pending,,,,,,30,n/a (no action),Outcome Unavailable — no action executed,None / Unavailable,no owner action recorded (recommendation generation is not execution),phase4_ai_opportunities.csv (no baseline row; baseline via owner event when logged),,2026-08
AIREC-MAINT-HOTSPOT,phase4_deterministic,False,Prioritize high-confidence recurring maintenance hotspots,Repeat-ticket rate on hotspot apartments,lower_is_better,Unavailable — required data/linkage does not currently exist,,not numerically resolvable,rate,,pending,,,,,,30,n/a (no action),Outcome Unavailable — no action executed,None / Unavailable,no owner action recorded (recommendation generation is not execution),phase4_ai_opportunities.csv (no baseline row; baseline via owner event when logged),,2026-08
AIREC-INV-PROMOTE-DOUBLE,phase4_deterministic,False,Promote available Vishful Double-sharing inventory,Occupied beds of the promoted sharing type,higher_is_better,Unavailable — required data/linkage does not currently exist,,not numerically resolvable,beds,,pending,,,,,,30,n/a (no action),Outcome Unavailable — no action executed,None / Unavailable,no owner action recorded (recommendation generation is not execution),phase4_ai_opportunities.csv (no baseline row; baseline via owner event when logged),,2026-08
