decision_ref,origin,reconciliation_status,topic,evidence_chain,business_metric,decision_strength,actionability,owner_input_required,expected_business_impact_type
DEC-VAC-Double,internal_engine,EXISTING_STANDALONE,Reduce 2-sharing vacancy,Vishful internal (step4_vacancy_at_risk.csv; step5_pricing_analysis.csv),"beds_filled, occupancy_after, revenue_recovered",Low,review/plan,no,"₹67,500 / month revenue-at-risk (real, step4)"
DEC-VAC-Single,internal_engine,EXISTING_STANDALONE,No single vacancy action required at present,Vishful internal (step4_vacancy_at_risk.csv; step5_pricing_analysis.csv),"beds_filled, occupancy_after, revenue_recovered",Low,review/plan,no,"not applicable — no current vacancy, zero exposure"
RV-ac,review_derived,SUPPORTING,ac (reinforces DEC-AMEN-AC),"reviews[Ci9DQUlRQUNvZENodHljRjlvT2tGaU9IWjFjemxUZFRsMVRHaHdaMlIzYVVjMVNXYxAB|Ci9DQUlRQUNvZENodHljRjlvT2t4dFVIWkRkVFJpT0ZwTlEycGxjM1pQTVhCVk4zYxAB|ChdDSUhNMG9nS0VQZUNscTJTNUpYNjdnRRAB] -> 7 reviews / 5 PGs (+5/-1, pain=1) -> market aggregate -> Vishful evidence -> supports DEC-AMEN-AC",occupancy + complaint_reduction,Medium,operational_then_marketing,no,occupancy + complaint_reduction
RV-staff,review_derived,SUPPORTING,staff (reinforces DEC-RETENTION-REVIEW),"reviews[Ci9DQUlRQUNvZENodHljRjlvT21wRFlqTm9hMEpTVGpsUVdUbEdaVmRrVDFvNVVIYxAB|Ci9DQUlRQUNvZENodHljRjlvT2xKNVNHZHlkSE5DY0RWR01VRk1WMHBZU0VWc2FFRRAB|Ci9DQUlRQUNvZENodHljRjlvT2tOTWJsTXpYMjlOWmtFeWNUUk5NWEpMVmpCamJrRRAB] -> 66 reviews / 8 PGs (+53/-11, pain=12) -> market aggregate -> Vishful evidence -> supports DEC-RETENTION-REVIEW",retention,High,actionable_now,no,retention
RV-value,review_derived,SUPPORTING,value (reinforces DEC-PRICEREV-Triple),"reviews[Ci9DQUlRQUNvZENodHljRjlvT21aS09EZGZNMUZpYUVobFVUTkhURUZRT1RrelZIYxAB|Ci9DQUlRQUNvZENodHljRjlvT2tGaU9IWjFjemxUZFRsMVRHaHdaMlIzYVVjMVNXYxAB|Ci9DQUlRQUNvZENodHljRjlvT2t4dFVIWkRkVFJpT0ZwTlEycGxjM1pQTVhCVk4zYxAB] -> 26 reviews / 8 PGs (+20/-4, pain=4) -> market aggregate -> Vishful evidence -> supports DEC-PRICEREV-Triple",occupancy/revenue,High,review_only,no,occupancy/revenue
RV-location,review_derived,SUPPORTING,location (reinforces DEC-LOC-MKT),"reviews[Ci9DQUlRQUNvZENodHljRjlvT21wRFlqTm9hMEpTVGpsUVdUbEdaVmRrVDFvNVVIYxAB|Ci9DQUlRQUNvZENodHljRjlvT2xKNVNHZHlkSE5DY0RWR01VRk1WMHBZU0VWc2FFRRAB|Ci9DQUlRQUNvZENodHljRjlvT2tOTWJsTXpYMjlOWmtFeWNUUk5NWEpMVmpCamJrRRAB] -> 30 reviews / 8 PGs (+26/-1, pain=2) -> market aggregate -> Vishful evidence -> supports DEC-LOC-MKT",occupancy(marketing),High,actionable_now,no,occupancy(marketing)
RV-maintenance,review_derived,SUPPORTING,maintenance (reinforces DEC-MAINT-PRIORITISE),"reviews[Ci9DQUlRQUNvZENodHljRjlvT2tOTWJsTXpYMjlOWmtFeWNUUk5NWEpMVmpCamJrRRAB|Ci9DQUlRQUNvZENodHljRjlvT21aek0xaFpXRFEzTjFSd2NqSmpSazV1U1RrMlUzYxAB|Ci9DQUlRQUNvZENodHljRjlvT25rMWNuQTNhVEJWVUhkNGRFVm9SRVV3VjBZNVIyYxAB] -> 14 reviews / 5 PGs (+14/-0, pain=1) -> market aggregate -> Vishful evidence -> supports DEC-MAINT-PRIORITISE",maintenance_cost/complaint_reduction,High,operational_first,no,maintenance_cost/complaint_reduction
RV-cleanliness,review_derived,SUPPORTING,cleanliness (reinforces DEC-MAINT-PRIORITISE),"reviews[Ci9DQUlRQUNvZENodHljRjlvT21wRFlqTm9hMEpTVGpsUVdUbEdaVmRrVDFvNVVIYxAB|Ci9DQUlRQUNvZENodHljRjlvT2sxa1JVUXRYMmhhWnpadWEyNXNOR0pCTkU4eFNFRRAB|Ci9DQUlRQUNvZENodHljRjlvT21GaUxWQldNVlJzYlRSbWJHZFZVVmt4VVV0bGIxRRAB] -> 32 reviews / 9 PGs (+28/-3, pain=3) -> market aggregate -> Vishful evidence -> supports DEC-MAINT-PRIORITISE",complaint_reduction/retention,High,operational_first,no,complaint_reduction/retention
RV-room_quality,review_derived,SUPPORTING,room_quality (reinforces DEC-MAINT-PRIORITISE),"reviews[Ci9DQUlRQUNvZENodHljRjlvT21wRFlqTm9hMEpTVGpsUVdUbEdaVmRrVDFvNVVIYxAB|Ci9DQUlRQUNvZENodHljRjlvT21aek0xaFpXRFEzTjFSd2NqSmpSazV1U1RrMlUzYxAB|Ci9DQUlRQUNvZENodHljRjlvT2tkdmJsVXlRVVYzZVY5Uk1rdzFaVEJuWlRacWVsRRAB] -> 43 reviews / 9 PGs (+39/-1, pain=2) -> market aggregate -> Vishful evidence -> supports DEC-MAINT-PRIORITISE",complaint_reduction/occupancy,High,operational_first,no,complaint_reduction/occupancy
RV-water,review_derived,SUPPORTING,water (reinforces DEC-MAINT-PRIORITISE),"reviews[Ci9DQUlRQUNvZENodHljRjlvT25seVYybHNTWFZZTTJRM1ZWQTFTWGROV0ZoMmEwRRAB|Ci9DQUlRQUNvZENodHljRjlvT2pGUU1sZHpNbWt5ZVdaQ1JrZENUSFJOVm1oWlpWRRAB|Ci9DQUlRQUNvZENodHljRjlvT2pGNGRYZEZVbTgxWlRFdGFqQXhTMDlUV2paaVEzYxAB] -> 4 reviews / 3 PGs (+3/-1, pain=2) -> market aggregate -> Vishful evidence -> supports DEC-MAINT-PRIORITISE",complaint_reduction,Medium,operational_first,no,complaint_reduction
RV-food,review_derived,NEW,food (genuinely new),"reviews[Ci9DQUlRQUNvZENodHljRjlvT21wRFlqTm9hMEpTVGpsUVdUbEdaVmRrVDFvNVVIYxAB|Ci9DQUlRQUNvZENodHljRjlvT2sxa1JVUXRYMmhhWnpadWEyNXNOR0pCTkU4eFNFRRAB|Ci9DQUlRQUNvZENodHljRjlvT2tGaU9IWjFjemxUZFRsMVRHaHdaMlIzYVVjMVNXYxAB] -> 19 reviews / 7 PGs (+16/-2, pain=3) -> market aggregate -> Vishful fact -> new candidate",lead_conversion (if added),High,owner_verify_first,yes — confirm food-service status,lead_conversion (if added)
RV-security,review_derived,NEW,security (genuinely new),"reviews[Ci9DQUlRQUNvZENodHljRjlvT21aS09EZGZNMUZpYUVobFVUTkhURUZRT1RrelZIYxAB|ChdDSUhNMG9nS0VJQ0FnSUNGaThIUy1BRRAB|ChZDSUhNMG9nS0VJQ0FnSUNaeDVlNVVnEAE] -> 11 reviews / 7 PGs (+8/-2, pain=2) -> market aggregate -> Vishful fact -> new candidate",lead_conversion/occupancy (if added),High,owner_verify_first,yes — confirm CCTV/security,lead_conversion/occupancy (if added)
RV-safety,review_derived,NEW,safety (genuinely new),"reviews[Ci9DQUlRQUNvZENodHljRjlvT21sdWRESnNZMlZEYkhFd05XMVBTa00yTTFoMmNuYxAB|Ci9DQUlRQUNvZENodHljRjlvT2xReU4wWjZjemxTVVdWWVgwOHRVMGhaYzNocVVGRRAB|Ci9DQUlRQUNvZENodHljRjlvT210d1RGbzBha0pOVGt0QmR5MTZNVjlhVjFGcGRFRRAB] -> 7 reviews / 4 PGs (+6/-1, pain=1) -> market aggregate -> Vishful fact -> new candidate",lead_conversion/occupancy (if added),Medium,owner_verify_first,yes — confirm safety/security,lead_conversion/occupancy (if added)
RV-parking,review_derived,NEW,parking (genuinely new),"reviews[Ci9DQUlRQUNvZENodHljRjlvT21aS09EZGZNMUZpYUVobFVUTkhURUZRT1RrelZIYxAB|Ci9DQUlRQUNvZENodHljRjlvT2xFM01WWXdZM2hpYUdaNE5tZFRNRU4wYTJWdk5uYxAB|Ci9DQUlRQUNvZENodHljRjlvT2pGNFdFSlZUMDFvZHpVeUxWcHFkMGcyZEdSNU1GRRAB] -> 7 reviews / 4 PGs (+5/-1, pain=2) -> market aggregate -> Vishful fact -> new candidate",lead_conversion/occupancy (if added),Medium,owner_verify_first,yes — confirm parking,lead_conversion/occupancy (if added)
RV-laundry,review_derived,NEW,laundry (genuinely new),"reviews[Ci9DQUlRQUNvZENodHljRjlvT2t4dFVIWkRkVFJpT0ZwTlEycGxjM1pQTVhCVk4zYxAB|ChdDSUhNMG9nS0VJQ0FnSUNGaThIUy1BRRAB|Ci9DQUlRQUNvZENodHljRjlvT2pGVVdWOW9TR1ZyV2s5SFdrcGlSM28zV1VSV2IyYxAB] -> 6 reviews / 3 PGs (+5/-0, pain=0) -> market aggregate -> Vishful fact -> new candidate",complaint_reduction/marketing,Medium,actionable_now,no,complaint_reduction/marketing
RV-common_area,review_derived,NEW,common_area (genuinely new),"reviews[Ci9DQUlRQUNvZENodHljRjlvT21wRFlqTm9hMEpTVGpsUVdUbEdaVmRrVDFvNVVIYxAB|Ci9DQUlRQUNvZENodHljRjlvT2xKNVNHZHlkSE5DY0RWR01VRk1WMHBZU0VWc2FFRRAB|ChZDSUhNMG9nS0VJQ0FnSURfM2NEelZREAE] -> 3 reviews / 2 PGs (+2/-0, pain=0) -> market aggregate -> Vishful fact -> new candidate",marketing,Low-Medium,actionable_now,no,marketing
RV-wifi,review_derived,REDUNDANT_WEAK,wifi,"reviews[Ci9DQUlRQUNvZENodHljRjlvT2kxdGVYSlZkMjVWZURWQ2VtMXllbkp3YUVoTVRsRRAB|Ci9DQUlRQUNvZENodHljRjlvT2xFM01WWXdZM2hpYUdaNE5tZFRNRU4wYTJWdk5uYxAB] -> 2 reviews / 2 PGs (+1/-0, pain=1) -> market aggregate",(internally handled: 65 tickets),informational,informational,no,none — no incremental action
RV-sharing,review_derived,REDUNDANT_WEAK,sharing,"reviews[Ci9DQUlRQUNvZENodHljRjlvT21wRFlqTm9hMEpTVGpsUVdUbEdaVmRrVDFvNVVIYxAB|Ci9DQUlRQUNvZENodHljRjlvT2xJMU1XYzJWa3B3WW1kVlZtc3haVEZRUVZrd1FXYxAB] -> 2 reviews / 2 PGs (+2/-0, pain=0) -> market aggregate",(already covered by vacancy decisions),informational,informational,no,none — no incremental action
