attribute,status,evidence,source_file,confidence,can_use_for_decision
Fan,VERIFIED_PRESENT,133 'Fan/Table Fan (Wall)' asset(s),assets #78 / asset_types #80,high,yes
Furniture (cot/mattress/cupboard/study table),VERIFIED_PRESENT,928 'Cot (Bed Frame)/Mattress/Cupboard/Study Table/Chair/Wardrobe' asset(s),assets #78 / asset_types #80,high,yes
Housekeeping / cleaning service,VERIFIED_PRESENT,"managed service — tenant issue-subtypes ['bathroom dirty', 'common area dirty', 'garbage not collected', 'room not cleaned']",issue_subtypes #77 / issue_types #76,high,yes
Common area,VERIFIED_PRESENT,managed service — tenant issue-subtypes ['common area dirty'],issue_subtypes #77 / issue_types #76,high,yes
Food / catered meals (breakfast/lunch/dinner),UNKNOWN,"kitchen/cooking assets exist BUT no evidence of a catered MEALS service; tenant 'food_preference' (#45) is a tenant attribute, NOT proof Vishful serves meals -> UNKNOWN",—,n/a,no — needs owner input
Parking,UNKNOWN,no asset and no issue-type evidence in Vishful data (absence ≠ proof absent),—,n/a,no — needs owner input
CCTV / security,UNKNOWN,no asset and no issue-type evidence in Vishful data (absence ≠ proof absent),—,n/a,no — needs owner input
Power backup / generator,UNKNOWN,no asset and no issue-type evidence in Vishful data (absence ≠ proof absent),—,n/a,no — needs owner input
Lift / elevator,UNKNOWN,no asset and no issue-type evidence in Vishful data (absence ≠ proof absent),—,n/a,no — needs owner input
Gym,UNKNOWN,no asset and no issue-type evidence in Vishful data (absence ≠ proof absent),—,n/a,no — needs owner input
Dedicated study area,UNKNOWN,no asset and no issue-type evidence in Vishful data (absence ≠ proof absent),—,n/a,no — needs owner input
Terrace access,UNKNOWN,no asset and no issue-type evidence in Vishful data (absence ≠ proof absent),—,n/a,no — needs owner input
Rent,VERIFIED_PRESENT,monthly_rental + rate card + invoice rent_amount,allotments #44 / rate #43 / invoices #52,high,yes
Electricity / EB,VERIFIED_PRESENT,electricity_amount + meter readings/units,"invoices #52 / eb_readings #56,#57,#60",high,yes
Deposits,VERIFIED_PRESENT,"deposit_paid, advance_held, refund_due",allotments #44 / exits #48 / settlements #50,high,yes
Billing / invoices,VERIFIED_PRESENT,"5,193 invoices with line items",invoices #52 / line_items #53,high,yes
Occupancy,VERIFIED_PRESENT,total_beds/occupied/vacant/occupancy_pct,occupancy_snapshot #94 / step5,high,yes
Vacancies & availability,VERIFIED_PRESENT,bed status + vacancy-at-risk,beds #42 status / step4,high,yes
Tenant movement / events,VERIFIED_PRESENT,"2,175 move/status events",bed_events #95,high,yes
Transfers / room switches,VERIFIED_PRESENT,28 switch records,room_switches #46,high,yes
Booking duration,VERIFIED_PRESENT,"expected_stay_days, booking/onboarding dates",allotments #44,high,yes
Notice period / move-out,VERIFIED_PRESENT,notice + exit records,allotments #44 notice_date / notices #47 / exits #48,high,yes
Maintenance,VERIFIED_PRESENT,"1,650 tickets + lifecycle logs",tickets #71 / resolutions #72 / logs #75,high,yes
Inventory (assets),VERIFIED_PRESENT,"1,700 assets, 1,822 allocations",assets #78 / allocations #79,high,yes
Fill time / vacancy duration,PARTIAL,days_vacant known for 14/14 vacant beds (duration_known=True); 9 new-inventory (A33/A34) counted from operational start 2026-08-01; 0 never-occupied -> unknown. Time-to-fill still not measurable (no completed fill events).,step4_vacancy_at_risk.csv,high,partial
Lead source / enquiries,PARTIAL,"18 leads; source={'whatsapp_bot': 18}; status={'in_progress': 16, 'visit_requested': 2}; has bed_type/budget/property_interest/move_in_date",leads #84,medium,yes (small n)
Visits requested,PARTIAL,2 visit_requested leads,leads #84,medium,yes
Marketing spend,VERIFIED_PRESENT,"₹24,631 marketing expense over 12 months (aggregate)",financials #85,high,yes
Lead -> conversion linkage,UNKNOWN,leads (#84) not linked to allotments (#44); no conversion mapping,—,n/a,no — needs capture
Campaign channel detail / referral,UNKNOWN,only source='whatsapp_bot'; no campaign/referral/channel breakdown or dates,leads #84,n/a,no — needs capture
